naics_code,naics_description,product_service_code,naics_description,contracting_agency_id,contracting_agency_name,contracting_office_id,contracting_office_name,contracting_department_id,contracting_department_name,major_command_code,major_command_id,major_command_name,date_signed,period_of_performance,last_date_order,completion_date,type_of_set_aside,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,AB12,COMMUNITY AND REGIONAL DEVELOPMENT R&D SERVICES; COMMUNITY DEVELOPMENT; APPLIED RESEARCH,1100,EXECUTIVE OFFICE OF THE PRESIDENT,113160,EOP - OFFICE OF ADMINISTRATION,1100,EXECUTIVE OFFICE OF THE PRESIDENT,,,,9/28/2023,9/28/2023,,3/28/2024,NONE,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B521,SPECIAL STUDIES/ANALYSIS- HISTORICAL,12C2,FOREST SERVICE,1240LN,"USDA-FS, CSA INTERMOUNTAIN 3",1200,"AGRICULTURE, DEPARTMENT OF",,,,7/22/2021,7/22/2021,,9/30/2021,NONE,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,1200,"AGRICULTURE, DEPARTMENT OF",,,,1/5/2021,6/11/2020,,11/30/2021,SBA,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,1200,"AGRICULTURE, DEPARTMENT OF",,,,11/8/2020,6/12/2020,,7/15/2021,SBA,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,1200,"AGRICULTURE, DEPARTMENT OF",,,,12/8/2020,6/11/2020,,11/30/2021,SBA,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,1200,"AGRICULTURE, DEPARTMENT OF",,,,3/22/2021,6/12/2020,,8/31/2021,SBA,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,1200,"AGRICULTURE, DEPARTMENT OF",,,,8/3/2021,6/12/2020,,11/15/2021,SBA,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,1200,"AGRICULTURE, DEPARTMENT OF",,,,9/25/2021,6/11/2020,,5/31/2022,SBA,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,1200,"AGRICULTURE, DEPARTMENT OF",,,,1/21/2022,6/12/2020,,2/15/2022,SBA,,
541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES,B503,SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL,12C2,FOREST SERVICE,1240BH,"USDA-FS, CSA NORTHWEST 6",1200,"AGRICULTURE, DEPARTMENT OF",,,,3/18/2022,6/11/2020,,11/30/2022,SBA,,
