funding_department_id,funding_department_name,funding_agency_id,funding_agency_name,funding_office_id,funding_office_name,dollars_obligated
1100,EXECUTIVE OFFICE OF THE PRESIDENT,,EXECUTIVE OFFICE THE PRESIDENT,113162,EOP-OFC OF NATL DRUG CONTROL POLICY,249781.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,120398,CUSTER GALLATIN NATIONAL FOREST,2500.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,-23194.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204R4,WILLAMETTE NATIONAL FOREST,1289250.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204R4,WILLAMETTE NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204R4,WILLAMETTE NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T0,SIUSLAW NATIONAL FOREST,-13929.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,0.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,-1099.00
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204T1,UMPQUA NATIONAL FOREST,-320.75
