funding_department_id,funding_department_name,funding_agency_id,funding_agency_name,funding_office_id,funding_office_name,dollars_obligated,,,,,,,,,,,,,,,,,,
1100,EXECUTIVE OFFICE OF THE PRESIDENT,,EXECUTIVE OFFICE THE PRESIDENT,113162,EOP-OFC OF NATL DRUG CONTROL POLICY,"249,781.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,120398,CUSTER GALLATIN NATIONAL FOREST,"2,500.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,12046W,USDA FOREST SERVICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,0.00,,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,"-23,194.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204R4,WILLAMETTE NATIONAL FOREST,"1,289,250.00",,,,,,,,,,,,,,,,,,
1200,"AGRICULTURE, DEPARTMENT OF",12C2,FOREST SERVICE,1204R4,WILLAMETTE NATIONAL FOREST,0.00,,,,,,,,,,,,,,,,,,
